name,country,batting_style,bowling_style,playing_role,image
Aaron Johnson,United States of America,Right hand Bat,Legbreak Googly,Top order Batter,
Navneet Dhaliwal,Canada,Right hand Bat,Right arm Medium fast,Middle order Batter,
Nicholas Kirton,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Saad Bin Zafar,Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Ali Khan,Hong Kong,Right hand Bat,Right arm Medium fast,Allrounder,
Saurabh Netravalkar,United States of America,Right hand Bat,Left arm Fast medium,Bowler,
Jasdeep Singh,United States of America,Right hand Bat,Right arm Medium,Bowler,
Steven Taylor,United States of America,Left hand Bat,Right arm Offbreak,Opening Batter,
Corey Anderson,New Zealand,Left hand Bat,Left arm Medium fast,Batting Allrounder,
Aaron Jones,United States of America,Right hand Bat,Legbreak Googly,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/391400/391444.2.png"
Nitish Kumar,Canada,Right hand Bat,Right arm Offbreak,Top order Batter,
Jeremy Gordon,Canada,Right hand Bat,Right arm Fast medium,Bowler,
Nikhil Dutta,Canada,Right hand Bat,Right arm Offbreak,Bowler,
Lega Siaka,Papua New Guinea,Right hand Bat,"Right arm Fast medium, Legbreak",Opening Batter,
Sese Bau,Papua New Guinea,Left hand Bat,Right arm Offbreak,Middle order Batter,
Hiri Hiri,Papua New Guinea,Right hand Bat,Right arm Offbreak,Middle order Batter,
Charles Amini,Papua New Guinea,Left hand Bat,Legbreak,Allrounder,
Chad Soper,Papua New Guinea,Right hand Bat,Right arm Medium fast,Bowler,
Alei Nao,Papua New Guinea,Right hand Bat,Right arm Medium,Bowler,
Kabua Morea,Papua New Guinea,Right hand Bat,Left arm Medium,Bowler,
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,
Romario Shepherd,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Andre Russell,West Indies,Right hand Bat,Right arm Fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316615.1.png"
Roston Chase,West Indies,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322039.1.png"
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321943.1.png"
Gudakesh Motie,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320109.2.png"
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,
Sherfane Rutherford,West Indies,Left hand Bat,Right arm Fast medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322173.1.png"
Kashyap Prajapati,Oman,Right hand Bat,Right arm Offbreak,Top order Batter,
Naseem Khushi,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Zeeshan Maqsood,Oman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Khalid Kail,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Ayaan Khan,Oman,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Mohammad Nadeem,Oman,Right hand Bat,Right arm Medium fast,Allrounder,
Mehran Khan,Oman,Right hand Bat,Right arm Medium fast,Batter,
Shakeel Ahmed,Hong Kong,Right hand Bat,Slow Left arm Orthodox,Bowler,
Bilal Khan,Oman,Left hand Bat,Left arm Medium fast,Bowler,
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348607.1.png"
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322079.1.png"
Tangeni Lungameni,Namibia,Left hand Bat,Left arm Medium,Bowler,
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,
Andries Gous,United States of America,Right hand Bat,NA ,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/393400/393407.2.png"
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder,
Nikolaas Davin,Namibia,Right hand Bat,Legbreak,Batter,
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,
Angelo Mathews,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/355600/355644.2.png"
Matheesha Pathirana,Sri Lanka,Right hand Bat,Right arm Medium,Bowler,
Marco Jansen,South Africa,Right hand Bat,Left arm Fast,Bowling Allrounder,
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320376.1.png"
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322072.1.png"
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png"
Reeza Hendricks,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322067.1.png"
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322073.1.png"
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381900/381935.2.png"
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381900/381920.2.png"
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381900/381925.2.png"
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,
Rashid Khan,Afghanistan,Right hand Bat,Right arm Wrist Spin,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383228.1.png"
Karim Janat,Afghanistan,Right hand Bat,Right arm Medium,Bowling Allrounder,
Cosmas Kyewuta,Uganda,Right hand Bat,Right arm Medium,Bowler,
Bilal Hassan,Uganda,Right hand Bat,Right arm Medium fast,Bowler,
Brian Masaba,Uganda,Right hand Bat,"Right arm Fast medium, Legbreak Googly",Bowler,
Robinson Obuya,Kenya,Right hand Bat,Legbreak,Allrounder,
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383236.1.png"
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,
Kushal Bhurtel,Nepal,Right hand Bat,Right arm Medium,Opening Batter,
Anil Sah,Nepal,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Rohit Paudel,Nepal,Right hand Bat,Right arm Medium,Batting Allrounder,
Kushal Malla,Nepal,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Dipendra Singh Airee,Nepal,Right hand Bat,"Right arm Medium, Right arm Offbreak",Middle order Batter,
Sompal Kami,Nepal,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Karan KC,Nepal,Right hand Bat,Right arm Fast,Allrounder,
Abinash Bohara,Nepal,Right hand Bat,Right arm Medium,Bowler,
Vivian Kingma,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381700/381737.3.png"
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381700/381734.3.png"
Michael Levitt,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter,
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter,
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321300/321343.1.png"
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,
Ben White,Australia,Right hand Bat,Legbreak Googly,Middle order Batter,
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390700/390798.5.png"
Mohammed Siraj,India,Right hand Bat,Right arm Fast,Bowler,
Jasprit Bumrah,India,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319940.2.png"
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/388300/388343.5.png"
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331164.2.png"
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385800/385819.2.png"
Kusal Mendis,Sri Lanka,Right hand Bat,NA,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319866.2.png"
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png"
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331163.1.png"
Shivam Dube,India,Left hand Bat,Right arm Medium,Allrounder,
Norman Vanua,Papua New Guinea,Right hand Bat,Right arm Medium,Bowler,
Kenneth Waiswa,Uganda,Right hand Bat,Right arm Medium,Allrounder,
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316589.1.png"
Travis Head,Australia,Left hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321584.2.png"
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385700/385798.1.png"
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389500/389563.5.png"
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321596.2.png"
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
Shoaib Khan,Oman,Right hand Bat,Right arm Medium,Batter,
Shoaib Khan,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter,
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390978.5.png"
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,
Nathan Ellis,Australia,Right hand Bat,Right arm Fast medium,Bowler,
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321549.1.png"
Mohammad Rizwan,Pakistan,Right hand Bat,Left arm Fast,Bowler,
Mohammad Rizwan,Pakistan,Right hand Bat,Right arm Medium,Bowler,
Usman Khan,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320467.1.png"
Azam Khan,Hong Kong,Right hand Bat,Right arm Medium fast,Allrounder,
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322250.1.png"
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322202.1.png"
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Mohammad Amir,Pakistan,Left hand Bat,Left arm Fast medium,Bowler,
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler,
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter,
Brandon McMullen,Scotland,Right hand Bat,Right arm Medium,Batting Allrounder,
Craig Young,Ireland,Right hand Bat,Right arm Fast medium,Bowler,
Junaid Siddiqui,Canada,Right hand Bat,Legbreak,Allrounder,
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383185.1.png"
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Michael Bracewell,New Zealand,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383147.2.png"
KL Rahul,India,Right hand Bat,NA,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319942.3.png"
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383167.1.png"
Mark Chapman,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,
Tanzim Hasan Sakib,Bangladesh,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382800/382811.1.png"
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316581.1.png"
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316700/316703.1.png"
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319734.3.png"
Tanzid Hasan,Afghanistan,Right hand Bat,Right arm Fast,Bowler,
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Middle order Batter,
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383142.1.png"
Jofra Archer,England,Right hand Bat,Right arm Fast,Bowler,
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,
Adil Rashid,England,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383151.1.png"
Liam Livingstone,England,Right hand Bat,Legbreak,Batting Allrounder,
Harry Brook,England,Right hand Bat,Right arm Medium,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383145.1.png"
Imad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder,
Imad Wasim,Pakistan,Right hand Bat,Legbreak Googly,Middle order Batter,
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler,
Ravinderpal Singh,Canada,Right hand Bat,Right arm Offbreak,Batter,
Saim Ayub,Pakistan,Left hand Bat,Right arm Medium fast,Top order Batter,
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,
Shayan Jahangir,United States of America,Right hand Bat,Right arm Medium fast,Batter,
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383171.1.png"
Rachin Ravindra,New Zealand,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Aryan Dutt,Netherlands,Right hand Bat,Right arm Offbreak,Bowler,
Reece Topley,England,Right hand Bat,Left arm Fast medium,Bowler,
Semo Kamea,Papua New Guinea,Left hand Bat,Left arm Fast,Bowler,
Sandeep Lamichhane,Nepal,Right hand Bat,Legbreak Googly,Bowler,
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322068.1.png"
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,
Kuldeep Yadav,India,Left hand Bat,Left arm Wrist spin,Bowler,
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Mahedi Hasan,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380200/380237.1.png"
Milind Kumar,India,Right hand Bat,Right arm Offbreak,Allrounder,
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter,
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter,
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter,
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
Chirag Suri,United Arab Emirates,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,
Muhammad Waseem,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter,
Kashif Daud,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
Zawar Farid,United Arab Emirates,Right hand Bat,Right arm Medium,Bowler,
Basil Hameed,United Arab Emirates,Right hand Bat,Right arm Offbreak,Middle order Batter,
Aayan Afzal Khan,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Karthik Meiyappan,United Arab Emirates,Right hand Bat,Legbreak,Bowler,
Junaid Siddique,Canada,Right hand Bat,Legbreak,Allrounder,
Zahoor Khan,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler,
Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,
